year,revenue,production_cost,gross_profit,gross_profit%,expenses_sales,expenses_admin,expenses_other,expenses_total,expenses%,operating_profit,special_items,financial_income,financial_expenses,profit_before_tax,profit_before_tax%,tax,tax_rate%,total_assets,equity,liabilities,operating_cash_flow,employees,sales_growth_yoy%,operating_margin%,sales_per_emp,fx_usd_to_dkk
2017,5302,1551,3751,0.707,1547,356,278,2181,0.411,1570,0,0,-26,1544,0.291,363,0.235,4532,3138,1393,1620,16480,-0.077,0.296,0.321,6.6
2016,5635,1581,4055,0.719,1572,345,288,2206,0.391,1849,0,2,-11,1841,0.326,439,0.238,4448,2977,1471,1350,16838,0.06,0.328,0.334,6.731
2015,5320,1459,3861,0.725,1452,333,255,2040,0.383,1820,0,2,-16,1806,0.339,442,0.244,4145,2639,1506,1570,13974,0.252,0.342,0.38,6.726
2014,5085,1436,3649,0.717,1385,257,282,1923,0.378,1725,0,2,-39,1689,0.332,439,0.259,3811,2283,1528,1414,12582,0.129,0.339,0.404,5.62
2013,4504,1322,3182,0.706,1251,214,233,1698,0.376,1484,0,2,-20,1467,0.325,377,0.257,3197,1972,1225,1201,11755,0.095,0.329,0.383,5.616
2012,3986,1173,2813,0.705,1061,229,210,1501,0.376,1313,0,3,-18,1298,0.325,329,0.253,2822,1702,1120,1074,10400,0.232,0.329,0.383,5.794
2011,3495,1030,2465,0.705,1018,206,184,1408,0.402,1057,0,6,-29,1034,0.295,258,0.249,2407,1301,1106,714,9374,0.169,0.302,0.372,5.36
2010,2847,785,2062,0.724,823,166,165,1153,0.405,909,-25,4,-19,869,0.305,208,0.239,1951,973,978,666,8365,0.373,0.31,0.34,5.625
2009,2178,647,1531,0.703,673,160,138,970,0.445,561,-19,24,-27,539,0.247,128,0.236,1454,615,840,506,7286,0.224,0.248,0.298,5.355
2008,1869,621,1248,0.667,582,127,146,855,0.457,393,19,8,-57,363,0.194,98,0.269,1274,405,869,383,5388,0.186,0.22,0.346,5.098
2007,1516,517,958,0.649,513,106,110,729,0.494,270,-4,23,-29,260,0.176,71,0.272,1104,308,796,190,4199,0.026,0.183,0.351,5.443
2006,1334,466,850,0.645,439,96,105,641,0.486,227,30,37,-31,263,0.199,22,0.084,1162,200,962,195,4908,0.109,0.179,0.268,5.944
2005,1188,493,682,0.58,431,100,86,617,0.525,78,-1,26,-26,76,0.064,21,0.274,1176,94,1082,98,5302,0.051,0.06,0.221,6.001
2004,1142,446,673,0.601,480,98,101,678,0.605,17,-205,17,-37,-207,-0.184,39,-0.19,1135,67,1023,120,5603,-0.068,0.063,0.199,5.988
2003,1094,476,619,0.565,536,131,113,780,0.712,-161,`,43,-41,-228,-0.208,-79,0.348,0,0,0,0,0,0,0,0,6.576